periodyear,period,cpi
2007,1,202.416
2007,2,203.499
2007,3,205.352
2007,4,206.686
2007,5,207.949
2007,6,208.352
2007,7,208.299
2007,8,207.917
2007,9,208.49
2007,10,208.936
2007,11,210.177
2007,12,210.036
2008,1,211.08
2008,2,211.693
2008,3,213.528
2008,4,214.823
2008,5,216.632
2008,6,218.815
2008,7,219.964
2008,8,219.086
2008,9,218.783
2008,10,216.573
2008,11,212.425
2008,12,210.228
2009,1,211.143
2009,2,212.193
2009,3,212.709
2009,4,213.24
2009,5,213.856
2009,6,215.693
2009,7,215.351
2009,8,215.834
2009,9,215.969
2009,10,216.177
2009,11,216.33
2009,12,215.949
2010,1,216.687
2010,2,216.741
2010,3,217.631
2010,4,218.009
2010,5,218.178
2010,6,217.965
2010,7,218.011
2010,8,218.312
2010,9,218.439
2010,10,218.711
2010,11,218.803
2010,12,219.179
2011,1,220.223
2011,2,221.309
2011,3,223.467
2011,4,224.906
2011,5,225.964
2011,6,225.722
2011,7,225.922
2011,8,226.545
2011,9,226.889
2011,10,226.421
2011,11,226.23
2011,12,225.672
2012,1,226.665
2012,2,227.663
2012,3,229.392
2012,4,230.085
2012,5,229.815
2012,6,229.478
2012,7,229.104
2012,8,230.379
2012,9,231.407
2012,10,231.317
2012,11,230.221
2012,12,229.601
2013,1,230.28
2013,2,232.166
2013,3,232.773
2013,4,232.531
2013,5,232.945
2013,6,233.504
2013,7,233.596
2013,8,233.877
2013,9,234.149
2013,10,233.546
2013,11,233.069
2013,12,233.049
2014,1,233.916
2014,2,234.781
2014,3,236.293
2014,4,237.072
2014,5,237.9
2014,6,238.343
2014,7,238.25
2014,8,237.852
2014,9,238.031
2014,10,237.433
2014,11,236.151
2014,12,234.812
2015,1,233.707
2015,2,234.722
2015,3,236.119
2015,4,236.599
2015,5,237.805
2015,6,238.638
2015,7,238.654
2015,8,238.316
2015,9,237.945
2015,10,237.838
2015,11,237.336
2015,12,236.525
2016,1,236.916
